 Licence Number: 56리8502  Entering Time: 2020/08/27 09:45:31
 Licence Number: 56라8502  Entering Time: 2020/08/27 10:02:36
 Licence Number: 14무6638  Entering Time: 2020/08/27 13:40:43 Licence Number: 14무6638  Entering Time: 2020/08/27 14:12:32
 Licence Number: 756라8502  Entering Time: 2020/08/27 14:14:11
 Licence Number: 라8502  Entering Time: 2020/08/27 14:15:39
 Licence Number: 82뵈8502  Entering Time: 2020/08/27 14:16:43
 Licence Number: 9띠라8502  Entering Time: 2020/08/27 14:17:31
 Licence Number: 8으라8502  Entering Time: 2020/08/27 14:18:46
 Licence Number: 56뽄라8502  Entering Time: 2020/08/27 14:21:57
 Licence Number: 56숀라8502  Entering Time: 2020/08/27 14:22:35
 Licence Number: 256라8502  Entering Time: 2020/08/27 14:27:27
 Licence Number: 56관85꾀  Entering Time: 2020/08/27 14:28:15
 Licence Number:   Entering Time: 2020/08/27 14:28:41
 Licence Number:   Entering Time: 2020/08/27 14:29:22
 Licence Number: 는끄4운6638  Entering Time: 2020/08/27 15:18:51
 Licence Number: 14무6638  Entering Time: 2020/08/28 12:04:40
 Licence Number: 쁠후4혀무캬6658  Entering Time: 2020/08/28 12:07:02
 Licence Number: 엠11섭겜햅6낮638  Entering Time: 2020/08/28 12:35:41
 Licence Number: 늦14무6638  Entering Time: 2020/08/28 12:37:22
 Licence Number: 56라8502  Entering Time: 2020/08/28 13:37:36
 Licence Number: 56라8502  Entering Time: 2020/08/28 13:39:09
 Licence Number: 56라8502  Entering Time: 2020/08/28 13:42:42
 Licence Number: 프11뻬  Entering Time: 2020/08/28 13:59:32
 Licence Number: 0디칙  Entering Time: 2020/08/28 14:14:25
 Licence Number: 56라8502  Entering Time: 2020/08/28 14:20:25
 Licence Number: 56라8502  Entering Time: 2020/08/28 14:20:52
 Licence Number: 56라8502  Entering Time: 2020/08/28 14:21:10
 Licence Number: 14무66쿡  Entering Time: 2020/08/28 14:21:51
 Licence Number: 14무66쿡  Entering Time: 2020/08/28 14:22:04
 Licence Number: 14무66쿡  Entering Time: 2020/08/28 14:22:18
 Licence Number: 56라8502  Entering Time: 2020/08/28 16:06:32
 Licence Number: 겜촉펙짤큭3헵  Entering Time: 2020/08/28 16:06:55
 Licence Number: 겜촉펙짤큭3헵  Entering Time: 2020/08/28 16:09:05
 Licence Number: 겜촉펙짤큭3헵  Entering Time: 2020/08/28 16:10:12
 Licence Number: 겜촉펙짤큭3헵  Entering Time: 2020/08/28 16:10:33
 Licence Number: 겜촉펙짤큭3헵  Entering Time: 2020/08/28 16:11:08
 Licence Number:   Entering Time: 2020/08/28 16:11:32
 Licence Number:   Entering Time: 2020/08/28 17:06:03
 Licence Number: 56라8502  Entering Time: 2020/08/28 17:30:00
 Licence Number: 56라8502  Entering Time: 2020/08/28 17:30:57
